subjID,run,RT,MAD,AD,MD_above,AUC
101,congruent,2127.535354,0.343640301,0.099895996,0.379299613,0.219579965
101,incongruent,3188.555556,0.623014934,0.213806337,0.661536266,0.403038301
102,congruent,1357.23,0.298086585,0.067126896,0.309413159,0.199244782
102,incongruent,1533.480519,0.571824248,0.153462933,0.578543568,0.348605147
103,congruent,1798.443299,0.253286091,0.069645681,0.329780297,0.115262923
103,incongruent,1857.708861,0.190172625,0.067426755,0.28428753,0.112474087
104,congruent,1263.802083,0.010916785,0.008862337,0.102045542,0.005386586
104,incongruent,1240.416667,0.045765425,0.009517875,0.111973113,0.035556028
105,congruent,1128.41,0.363381636,0.079402359,0.389352425,0.257152362
105,incongruent,1201,0.379060345,0.087023278,0.425209275,0.269204181
106,congruent,1343.470588,0.1786244,0.045184719,0.234995831,0.068912139
106,incongruent,875.1097561,0.042973994,0.009679509,0.083994152,0.016837044
107,congruent,1419.262626,0.788963585,0.173494528,0.799034726,0.603573523
107,incongruent,1287.164948,0.801527562,0.149702666,0.832128332,0.67758989
108,congruent,1854.676768,0.626475716,0.229649389,0.627898326,0.450474029
108,incongruent,2161.567164,0.838938752,0.334772711,0.838938752,0.573066941
109,congruent,1339.8,0.336111648,0.076704144,0.365223348,0.267359402
109,incongruent,1467.407895,0.241496239,0.049035818,0.282838935,0.201077509
110,congruent,1180,0.720239652,0.212189539,0.72780279,0.498022076
110,incongruent,1410.428571,0.758835151,0.231204813,0.783188863,0.436887533
111,congruent,1159.393939,0.599289569,0.169906076,0.605515283,0.427309874
111,incongruent,1771.178571,0.676360456,0.206890844,0.687186056,0.385777249
112,congruent,1769.918367,0.453913985,0.118751021,0.480062409,0.348585052
112,incongruent,1133.663043,0.092568942,0.020110627,0.135935079,0.078616197
113,congruent,1384.1,0.118870056,0.030047734,0.201064066,0.020782336
113,incongruent,1381.102041,-0.004541056,0.017969778,0.135479642,-0.032525485
114,congruent,1439.526316,0.537817546,0.160593216,0.543867767,0.43524067
114,incongruent,1125.739583,0.43605609,0.11677953,0.449316308,0.354727996
115,congruent,1405,0.284846048,0.067694317,0.335712613,0.205676648
115,incongruent,1336.095745,0.278494427,0.064608306,0.327689773,0.184295635
116,congruent,1189.82,0.576527116,0.161439749,0.585128069,0.398766317
116,incongruent,1734.090909,0.334901584,0.105357806,0.337523399,0.23230711
117,congruent,1179.34,0.235414096,0.052395695,0.280306113,0.117940221
117,incongruent,1162.964286,0.307409327,0.07839785,0.311546413,0.222553684
118,congruent,1652.37,0.085978277,0.023928494,0.160859183,0.036781966
118,incongruent,2052.673077,0.058652177,0.020180796,0.166105813,0.035230878
119,congruent,1159.6,0.372513458,0.081401288,0.375380598,0.260904871
119,incongruent,1214.702128,0.250316881,0.053242485,0.255617195,0.185224268
120,congruent,1525.704082,0.393836524,0.128239374,0.441728964,0.27019952
120,incongruent,1598.938776,0.46403626,0.125508047,0.500915954,0.340490839
121,congruent,1062.44,0.494696296,0.115142585,0.499589857,0.348737136
121,incongruent,1351.414634,0.37241076,0.09931654,0.423534678,0.179257367
122,congruent,1279.149425,0.719420429,0.171404349,0.730117244,0.45241234
122,incongruent,1267.810127,0.530792714,0.13071343,0.552519339,0.361751708
123,congruent,2154.64,0.274698464,0.060665866,0.330692104,0.156355884
123,incongruent,2110.057143,0.615745948,0.180253301,0.663262839,0.26919532
124,congruent,1179.510204,1.103734153,0.31245542,1.105284041,0.547037877
124,incongruent,1135.69697,0.626544833,0.19961535,0.637029994,0.327902148
125,congruent,1138.13,0.465831347,0.124821032,0.518002932,0.303387382
125,incongruent,1092,0.519621131,0.121551471,0.545901952,0.347966818
126,congruent,1661.030928,0.854378743,0.233388686,0.879368759,0.440733635
126,incongruent,1628.939024,0.824343999,0.196941072,0.848044813,0.456530844
127,congruent,1275.591837,0.203114064,0.058050517,0.333176519,0.10528105
127,incongruent,1133.391753,-0.038979673,-0.00307333,0.079265595,-0.044736037
128,congruent,1475.07,0.12706205,0.02089956,0.171750028,0.109685334
128,incongruent,2066.484848,0.544226455,0.127961842,0.582538672,0.327924366
129,congruent,1474.152174,0.808918556,0.255207242,0.830432624,0.534421385
129,incongruent,1231.615385,0.314138463,0.100393515,0.401899032,0.119255632
130,congruent,1126.765306,0.506604768,0.120240118,0.551326785,0.374990099
130,incongruent,1248.901639,0.403994487,0.126084964,0.481705735,0.286800366
131,congruent,1174.909091,0.545779724,0.190047585,0.547529041,0.367974024
131,incongruent,928.3092784,0.443891068,0.151642291,0.445743547,0.271002041
132,congruent,957.26,0.609691288,0.173699871,0.62229625,0.318220736
132,incongruent,920.5204082,0.454158185,0.114043488,0.486024094,0.216558663
133,congruent,1556.367347,0.58809274,0.173607471,0.599496418,0.367257523
133,incongruent,1746.473684,0.599523011,0.155916807,0.622212639,0.42547836
134,congruent,1194.214286,0.479077211,0.123996219,0.497627981,0.293113975
134,incongruent,1273.152174,0.559759515,0.148837647,0.565339174,0.286612719
135,congruent,1158.606061,0.150580425,0.027850248,0.174742082,0.112109134
135,incongruent,1290.4,0.292722984,0.064533704,0.319165382,0.160826955
136,congruent,1091.680851,0.566838201,0.157884595,0.576855194,0.412976783
136,incongruent,1555.264368,0.640364267,0.231527101,0.646335536,0.426642048
137,congruent,1582.21,0.304626043,0.088412972,0.371597599,0.147870572
137,incongruent,2689.594595,0.709046332,0.22481323,0.724250514,0.361981047
138,congruent,2193.223404,0.956992396,0.364991362,0.965016234,0.474706661
138,incongruent,2274.865854,0.821152893,0.271393765,0.826281302,0.383293592
139,congruent,1050.505051,0.529701026,0.203483913,0.530593112,0.327058787
139,incongruent,1174.74,0.816728772,0.271310602,0.816728772,0.494577862
140,congruent,1427.540816,0.675687837,0.169713835,0.704809206,0.338199031
140,incongruent,1787.120879,0.492103009,0.144288906,0.58242819,0.201945201
141,congruent,1356.56,0.66008102,0.182261736,0.702825234,0.419214866
141,incongruent,2049.163265,0.850838745,0.246549421,0.881617316,0.487496733
142,congruent,1226.75,0.704875445,0.181048645,0.72026861,0.428582034
142,incongruent,1508.963415,0.90232457,0.246978018,0.910299562,0.544611705
143,congruent,1113.913043,0.152083283,0.060874023,0.208484476,0.089938922
143,incongruent,1412,1.314579389,0.465122375,1.322254671,0.768610049
144,congruent,887.7978723,0.191109831,0.06022291,0.282269715,0.120964443
144,incongruent,1255.202247,0.305630102,0.071770192,0.375890457,0.054239132
145,congruent,1486.260417,0.200120979,0.049705502,0.253814335,0.13973051
145,incongruent,1682.04,0.497349799,0.131970055,0.516149758,0.351136542
146,congruent,875.3505155,0.813127996,0.213499013,0.819032903,0.555947636
146,incongruent,1034.020408,0.592664431,0.150217493,0.618236934,0.397590589
147,congruent,1571.98,0.410226047,0.1773485,0.415702844,0.25524334
147,incongruent,2118.857143,0.576097181,0.248309978,0.588834655,0.369031641
149,congruent,850.1428571,0.032995793,0.011538738,0.084674667,0.010570768
149,incongruent,963.05,0.08556699,0.019790883,0.148057196,0.029992616
150,congruent,1277.565657,0.451735569,0.108447625,0.466925434,0.39434289
150,incongruent,1886.647059,0.7995468,0.231992991,0.82942938,0.619814717
151,congruent,1983.71,0.374016025,0.112627954,0.394352148,0.248936321
151,incongruent,2614.775862,0.415078567,0.122863121,0.469801297,0.250382155
153,congruent,951.6530612,0.928784632,0.314612064,0.9353293,0.821529706
153,incongruent,1308.851852,0.796732462,0.267141002,0.801246554,0.62651547
154,congruent,1110.070707,0.53885495,0.170848212,0.555876108,0.363397913
154,incongruent,1280.87234,0.603998279,0.173455195,0.621455976,0.347475245
158,congruent,850.3265306,0.420575263,0.098111941,0.46651205,0.302974588
158,incongruent,1047.787879,0.541433937,0.139227901,0.621834705,0.337968247
160,congruent,1075.777778,0.530090158,0.126628835,0.549260226,0.348885811
160,incongruent,1323.389474,0.555343801,0.148236509,0.585151375,0.347251843
161,congruent,1556.145833,0.440374025,0.131826414,0.473232957,0.221171516
161,incongruent,2342.52,0.550551568,0.189107377,0.565841362,0.282190186
163,congruent,917.3232323,0.590672695,0.135908872,0.616842439,0.399515626
163,incongruent,968.0752688,0.618288994,0.147300652,0.636907171,0.391801564
164,congruent,1262.103093,0.274762367,0.059041696,0.290301884,0.20367262
164,incongruent,1785.762887,0.284923862,0.076208149,0.312156503,0.217727046
165,congruent,1031.060606,0.441129707,0.144855668,0.45065636,0.354690427
165,incongruent,1468.792453,0.494466863,0.158271963,0.494466863,0.370571729